factor_id,store_id,factor_date,is_holiday,temp_c,rainfall_mm,trend_index,cpi_index,year,week
F000000090,ST0001,2024-11-10,True,20.92,15.68,105.1,109.24,2024,45
F000000091,ST0001,2024-11-17,False,24.8,8.58,104.13,108.26,2024,46
F000000092,ST0001,2024-11-24,False,21.43,8.09,105.57,109.12,2024,47
F000000093,ST0001,2024-12-01,False,21.91,15.6,102.3,107.8,2024,48
F000000094,ST0001,2024-12-08,False,17.27,15.18,103.55,108.4,2024,49
F000000095,ST0001,2024-12-15,False,23.51,5.05,106.24,110.34,2024,50
F000000096,ST0001,2024-12-22,False,26.44,15.17,103.66,109.25,2024,51
F000000097,ST0001,2024-12-29,False,21.61,9.27,99.86,109.85,2024,52
F000000098,ST0001,2025-01-05,True,21.95,15.0,98.33,110.26,2025,1
F000000099,ST0001,2025-01-12,True,20.73,1.85,105.33,110.36,2025,2
F000000100,ST0001,2025-01-19,False,19.38,2.49,104.85,110.05,2025,3
F000000101,ST0001,2025-01-26,False,16.18,6.1,105.18,110.39,2025,4
F000000102,ST0001,2025-02-02,False,21.61,0.0,111.1,110.03,2025,5
F000000103,ST0001,2025-02-09,False,23.13,2.37,112.13,109.24,2025,6
F000000104,ST0001,2025-02-16,False,19.55,6.41,107.8,109.43,2025,7
F000000105,ST0001,2025-02-23,False,18.69,0.67,104.21,111.5,2025,8
F000000106,ST0001,2025-03-02,False,24.64,9.8,96.55,110.03,2025,9
F000000107,ST0001,2025-03-09,False,24.34,12.66,109.88,110.09,2025,10
F000000108,ST0001,2025-03-16,False,24.26,5.07,99.79,110.82,2025,11
F000000109,ST0001,2025-03-23,False,23.05,5.56,106.41,109.32,2025,12
F000000110,ST0001,2025-03-30,False,21.95,0.0,104.1,109.68,2025,13
F000000111,ST0001,2025-04-06,False,20.84,4.48,110.66,111.32,2025,14
F000000112,ST0001,2025-04-13,False,26.74,4.49,104.74,111.04,2025,15
F000000113,ST0001,2025-04-20,False,22.25,0.61,106.55,111.45,2025,16
F000000114,ST0001,2025-04-27,False,26.94,8.77,103.19,111.07,2025,17
F000000115,ST0001,2025-05-04,False,28.88,4.1,102.56,110.52,2025,18
F000000116,ST0001,2025-05-11,False,30.34,14.11,103.67,110.34,2025,19
F000000117,ST0001,2025-05-18,False,28.88,2.77,95.11,111.22,2025,20
F000000118,ST0001,2025-05-25,False,28.87,14.66,105.61,110.59,2025,21
F000000119,ST0001,2025-06-01,False,30.1,0.0,101.73,110.57,2025,22
F000000120,ST0001,2025-06-08,False,31.46,12.13,102.6,111.69,2025,23
F000000121,ST0001,2025-06-15,False,31.2,0.0,100.64,111.95,2025,24
F000000122,ST0001,2025-06-22,False,34.73,1.7,112.31,111.53,2025,25
F000000123,ST0001,2025-06-29,False,33.78,8.34,103.7,112.5,2025,26
F000000124,ST0001,2025-07-06,False,31.94,17.09,100.4,112.08,2025,27
F000000125,ST0001,2025-07-13,False,29.51,12.28,111.53,112.18,2025,28
F000000126,ST0001,2025-07-20,False,36.04,8.51,92.72,112.75,2025,29
F000000127,ST0001,2025-07-27,False,36.3,20.38,106.59,113.15,2025,30
F000000128,ST0001,2025-08-03,False,30.42,11.48,112.25,111.58,2025,31
F000000129,ST0001,2025-08-10,False,29.96,7.3,106.72,111.22,2025,32
F000000130,ST0001,2025-08-17,False,34.65,22.17,104.05,112.58,2025,33
F000000131,ST0001,2025-08-24,False,30.59,15.81,108.5,110.7,2025,34
F000000132,ST0001,2025-08-31,False,30.62,14.63,102.42,113.85,2025,35
F000000133,ST0001,2025-09-07,False,29.52,14.38,110.63,113.66,2025,36
F000000134,ST0001,2025-09-14,False,32.22,24.96,103.1,112.68,2025,37
F000000135,ST0001,2025-09-21,False,31.98,10.01,113.65,111.05,2025,38
F000000136,ST0001,2025-09-28,False,26.08,1.17,105.05,112.12,2025,39
F000000137,ST0001,2025-10-05,False,27.23,23.4,102.93,113.14,2025,40
F000000138,ST0001,2025-10-12,False,27.09,16.71,97.43,114.62,2025,41
F000000139,ST0001,2025-10-19,True,28.25,14.2,107.05,113.57,2025,42
F000000140,ST0001,2025-10-26,False,29.54,5.15,110.7,112.88,2025,43
F000000141,ST0001,2025-11-02,False,22.88,11.49,108.19,114.36,2025,44
F000000142,ST0001,2025-11-09,False,27.48,25.36,98.44,113.91,2025,45
F000000143,ST0001,2025-11-16,True,23.2,19.99,103.02,113.01,2025,46
F000000144,ST0001,2025-11-23,False,28.41,6.68,109.71,113.34,2025,47
F000000145,ST0001,2025-11-30,False,20.01,20.87,104.66,114.56,2025,48
F000000146,ST0001,2025-12-07,False,17.65,12.25,109.37,113.84,2025,49
F000000147,ST0001,2025-12-14,False,19.6,0.0,112.81,112.72,2025,50
F000000148,ST0001,2025-12-21,False,17.07,3.82,110.82,115.17,2025,51
F000000149,ST0001,2025-12-28,False,21.26,6.63,112.37,114.59,2025,52
F000000150,ST0001,2026-01-04,False,22.4,5.54,97.19,114.58,2026,1
F000000151,ST0001,2026-01-11,False,20.66,8.63,111.97,114.6,2026,2
F000000152,ST0001,2026-01-18,False,20.11,4.97,107.63,114.65,2026,3
F000000153,ST0001,2026-01-25,False,19.24,21.16,102.5,113.89,2026,4
F000000154,ST0001,2026-02-01,False,23.72,0.0,103.85,113.6,2026,5
F000000155,ST0001,2026-02-08,True,17.24,5.97,110.83,115.89,2026,6
F000000156,ST0001,2026-02-15,False,17.47,11.73,99.12,113.39,2026,7
F000000157,ST0002,2023-02-26,False,22.28,6.86,93.33,99.56,2023,8
F000000158,ST0002,2023-03-05,False,24.1,0.0,103.14,99.34,2023,9
F000000159,ST0002,2023-03-12,False,23.19,11.35,102.21,99.91,2023,10
F000000160,ST0002,2023-03-19,False,26.37,8.01,106.16,100.11,2023,11
F000000161,ST0002,2023-03-26,False,29.54,0.41,95.63,101.63,2023,12
F000000162,ST0002,2023-04-02,True,17.34,9.96,98.94,101.11,2023,13
F000000163,ST0002,2023-04-09,False,28.74,0.0,96.28,101.1,2023,14
F000000164,ST0002,2023-04-16,False,28.11,12.25,99.94,101.25,2023,15
F000000165,ST0002,2023-04-23,False,25.88,0.0,103.75,100.14,2023,16
F000000166,ST0002,2023-04-30,False,28.39,1.83,85.65,100.29,2023,17
F000000167,ST0002,2023-05-07,False,28.11,3.99,95.91,100.24,2023,18
F000000168,ST0002,2023-05-14,False,26.59,11.78,107.98,101.59,2023,19
F000000169,ST0002,2023-05-21,False,32.12,0.4,102.36,102.06,2023,20
F000000170,ST0002,2023-05-28,False,24.52,14.33,103.69,100.9,2023,21
F000000171,ST0002,2023-06-04,False,29.4,2.41,99.55,100.41,2023,22
F000000172,ST0002,2023-06-11,False,31.05,10.22,99.51,100.45,2023,23
F000000173,ST0002,2023-06-18,False,31.1,1.85,98.7,101.85,2023,24
F000000174,ST0002,2023-06-25,False,30.64,8.71,104.04,101.26,2023,25
F000000175,ST0002,2023-07-02,False,39.25,0.0,100.52,101.72,2023,26
F000000176,ST0002,2023-07-09,False,31.75,13.99,103.51,101.73,2023,27
F000000177,ST0002,2023-07-16,False,37.2,13.59,109.12,102.41,2023,28
F000000178,ST0002,2023-07-23,False,34.21,7.87,95.74,101.45,2023,29
F000000179,ST0002,2023-07-30,False,30.99,1.49,103.51,101.15,2023,30
F000000180,ST0002,2023-08-06,False,30.53,9.68,95.82,102.08,2023,31
F000000181,ST0002,2023-08-13,False,34.43,3.86,95.32,100.93,2023,32
F000000182,ST0002,2023-08-20,False,31.34,19.35,99.79,102.42,2023,33
F000000183,ST0002,2023-08-27,False,31.46,20.4,107.14,102.01,2023,34
F000000184,ST0002,2023-09-03,False,33.72,7.1,95.99,102.65,2023,35
F000000185,ST0002,2023-09-10,False,30.8,11.42,105.18,103.29,2023,36
F000000186,ST0002,2023-09-17,False,30.98,15.56,108.02,103.47,2023,37
F000000187,ST0002,2023-09-24,False,25.53,14.37,89.76,102.38,2023,38
F000000188,ST0002,2023-10-01,False,29.74,28.07,106.7,102.08,2023,39
F000000189,ST0002,2023-10-08,False,29.14,6.23,94.39,102.91,2023,40
F000000190,ST0002,2023-10-15,False,27.26,22.96,97.87,101.51,2023,41
F000000191,ST0002,2023-10-22,False,27.37,10.17,100.88,102.52,2023,42
F000000192,ST0002,2023-10-29,False,28.85,11.78,97.34,103.45,2023,43
F000000193,ST0002,2023-11-05,False,31.75,11.3,104.42,103.6,2023,44
F000000194,ST0002,2023-11-12,False,26.43,7.01,97.44,103.79,2023,45
F000000195,ST0002,2023-11-19,False,22.97,13.18,96.18,103.34,2023,46
F000000196,ST0002,2023-11-26,False,22.06,18.14,104.4,102.67,2023,47
F000000197,ST0002,2023-12-03,True,21.82,1.78,102.66,103.39,2023,48
F000000198,ST0002,2023-12-10,True,23.77,8.33,103.13,105.4,2023,49
F000000199,ST0002,2023-12-17,True,21.61,19.31,99.54,104.2,2023,50
F000000200,ST0002,2023-12-24,True,19.5,6.53,103.97,104.42,2023,51
F000000201,ST0002,2023-12-31,False,17.91,0.0,97.32,103.88,2023,52
F000000202,ST0002,2024-01-07,False,21.74,1.23,98.25,105.08,2024,1
F000000203,ST0002,2024-01-14,False,17.78,8.97,98.28,103.61,2024,2
F000000204,ST0002,2024-01-21,False,22.17,11.12,100.17,103.84,2024,3
F000000205,ST0002,2024-01-28,False,19.84,3.73,97.84,105.17,2024,4
F000000206,ST0002,2024-02-04,False,16.6,20.99,89.32,105.62,2024,5
F000000207,ST0002,2024-02-11,False,19.55,0.0,97.7,106.08,2024,6
F000000208,ST0002,2024-02-18,True,20.49,2.91,101.35,104.9,2024,7
F000000209,ST0002,2024-02-25,False,23.94,7.94,108.42,105.18,2024,8
F000000210,ST0002,2024-03-03,False,25.61,10.12,92.31,104.61,2024,9
F000000211,ST0002,2024-03-10,False,19.01,7.11,98.77,106.66,2024,10
F000000212,ST0002,2024-03-17,False,21.17,12.71,102.42,105.35,2024,11
F000000213,ST0002,2024-03-24,False,24.49,9.73,100.34,105.38,2024,12
F000000214,ST0002,2024-03-31,False,24.1,14.83,115.63,106.29,2024,13
F000000215,ST0002,2024-04-07,False,23.37,12.03,111.87,106.64,2024,14
F000000216,ST0002,2024-04-14,False,21.82,0.0,107.39,105.88,2024,15
F000000217,ST0002,2024-04-21,False,26.7,12.19,102.0,105.88,2024,16
F000000218,ST0002,2024-04-28,False,26.65,5.04,96.8,106.87,2024,17
F000000219,ST0002,2024-05-05,False,24.45,0.0,94.18,106.09,2024,18
F000000220,ST0002,2024-05-12,False,31.19,11.35,105.1,106.53,2024,19
F000000221,ST0002,2024-05-19,False,27.68,5.43,102.62,106.64,2024,20
F000000222,ST0002,2024-05-26,False,35.16,10.52,107.37,105.11,2024,21
F000000223,ST0002,2024-06-02,False,34.78,17.96,104.94,106.7,2024,22
F000000224,ST0002,2024-06-09,True,27.04,2.95,101.92,107.73,2024,23
F000000225,ST0002,2024-06-16,False,35.86,7.93,101.95,107.42,2024,24
F000000226,ST0002,2024-06-23,False,26.49,5.59,99.1,106.37,2024,25
F000000227,ST0002,2024-06-30,False,26.85,7.63,104.02,106.12,2024,26
F000000228,ST0002,2024-07-07,False,33.81,8.04,107.39,106.24,2024,27
F000000229,ST0002,2024-07-14,False,32.69,14.06,98.91,106.45,2024,28
F000000230,ST0002,2024-07-21,True,29.79,7.96,111.04,107.25,2024,29
F000000231,ST0002,2024-07-28,False,31.69,10.13,106.29,108.8,2024,30
F000000232,ST0002,2024-08-04,False,29.99,10.05,110.41,105.44,2024,31
F000000233,ST0002,2024-08-11,False,35.44,15.43,102.7,108.19,2024,32
F000000234,ST0002,2024-08-18,True,33.25,7.81,102.09,107.96,2024,33
F000000235,ST0002,2024-08-25,False,35.56,17.86,98.67,109.47,2024,34
F000000236,ST0002,2024-09-01,False,34.54,26.43,103.27,107.69,2024,35
F000000237,ST0002,2024-09-08,False,30.34,22.73,98.61,107.38,2024,36
F000000238,ST0002,2024-09-15,False,29.31,9.11,106.04,106.76,2024,37
F000000239,ST0002,2024-09-22,False,28.23,20.99,108.5,108.06,2024,38
F000000240,ST0002,2024-09-29,False,25.06,18.3,105.54,109.5,2024,39
F000000241,ST0002,2024-10-06,False,26.41,27.86,105.84,108.5,2024,40
F000000242,ST0002,2024-10-13,False,25.1,18.69,102.74,106.45,2024,41
F000000243,ST0002,2024-10-20,False,29.38,17.82,103.0,107.16,2024,42
F000000244,ST0002,2024-10-27,False,25.65,10.07,103.73,106.26,2024,43
F000000245,ST0002,2024-11-03,False,26.84,9.77,102.49,111.3,2024,44
F000000246,ST0002,2024-11-10,False,21.99,25.59,111.81,108.7,2024,45
F000000247,ST0002,2024-11-17,False,23.59,12.76,108.45,108.58,2024,46
F000000248,ST0002,2024-11-24,False,22.27,1.53,97.63,108.86,2024,47
F000000249,ST0002,2024-12-01,True,22.82,1.24,102.68,109.12,2024,48
F000000250,ST0002,2024-12-08,False,30.56,8.05,102.91,109.4,2024,49
F000000251,ST0002,2024-12-15,False,23.75,11.61,112.28,107.93,2024,50
F000000252,ST0002,2024-12-22,False,24.45,3.26,109.15,109.24,2024,51
F000000253,ST0002,2024-12-29,False,25.09,0.0,107.2,110.92,2024,52
F000000254,ST0002,2025-01-05,False,18.37,11.64,104.86,108.64,2025,1
F000000255,ST0002,2025-01-12,False,21.81,0.07,104.83,108.37,2025,2
F000000256,ST0002,2025-01-19,False,24.46,4.01,98.44,110.08,2025,3
F000000257,ST0002,2025-01-26,False,22.94,10.36,103.01,107.89,2025,4
F000000258,ST0002,2025-02-02,False,15.8,0.87,94.68,109.89,2025,5
F000000259,ST0002,2025-02-09,False,22.79,0.0,101.42,110.57,2025,6
F000000260,ST0002,2025-02-16,False,22.16,3.21,106.61,109.9,2025,7
F000000261,ST0002,2025-02-23,False,23.4,7.86,107.95,110.13,2025,8
F000000262,ST0002,2025-03-02,False,20.84,0.0,107.83,110.45,2025,9
F000000263,ST0002,2025-03-09,False,20.13,2.9,103.36,110.61,2025,10
F000000264,ST0002,2025-03-16,False,19.5,8.31,109.98,109.96,2025,11
F000000265,ST0002,2025-03-23,False,26.0,0.0,109.81,111.23,2025,12
F000000266,ST0002,2025-03-30,False,26.09,0.0,99.96,110.12,2025,13
F000000267,ST0002,2025-04-06,False,27.45,10.93,105.08,112.2,2025,14
F000000268,ST0002,2025-04-13,True,24.46,11.82,100.15,111.31,2025,15
F000000269,ST0002,2025-04-20,False,30.32,0.0,105.71,111.43,2025,16
F000000270,ST0002,2025-04-27,True,23.08,0.0,107.47,110.58,2025,17
F000000271,ST0002,2025-05-04,True,31.97,16.29,96.69,111.65,2025,18
F000000272,ST0002,2025-05-11,False,28.26,6.37,105.99,111.47,2025,19
F000000273,ST0002,2025-05-18,False,28.32,0.0,94.73,112.73,2025,20
F000000274,ST0002,2025-05-25,False,26.15,8.1,105.14,111.53,2025,21
F000000275,ST0002,2025-06-01,False,34.07,10.75,104.95,111.25,2025,22
F000000276,ST0002,2025-06-08,False,32.47,6.3,97.02,112.24,2025,23
F000000277,ST0002,2025-06-15,False,28.96,9.86,107.2,112.66,2025,24
F000000278,ST0002,2025-06-22,False,32.83,11.78,111.1,112.52,2025,25
F000000279,ST0002,2025-06-29,False,26.74,0.49,114.91,112.38,2025,26
F000000280,ST0002,2025-07-06,False,38.94,17.66,106.03,112.53,2025,27
F000000281,ST0002,2025-07-13,False,33.84,15.85,107.59,112.36,2025,28
F000000282,ST0002,2025-07-20,False,34.64,1.25,104.58,111.42,2025,29
F000000283,ST0002,2025-07-27,False,30.76,7.85,102.35,113.19,2025,30
F000000284,ST0002,2025-08-03,False,35.18,22.83,101.22,111.17,2025,31
F000000285,ST0002,2025-08-10,False,29.63,4.88,102.88,112.8,2025,32
F000000286,ST0002,2025-08-17,False,32.7,16.89,105.19,111.76,2025,33
F000000287,ST0002,2025-08-24,False,34.31,21.54,104.46,112.88,2025,34
F000000288,ST0002,2025-08-31,False,29.98,8.5,101.87,112.94,2025,35
F000000289,ST0002,2025-09-07,False,32.91,15.06,102.68,111.49,2025,36
F000000290,ST0002,2025-09-14,False,32.71,17.99,99.63,113.36,2025,37
F000000291,ST0002,2025-09-21,False,31.35,3.48,109.14,113.04,2025,38
F000000292,ST0002,2025-09-28,False,29.67,3.64,103.76,112.52,2025,39
F000000293,ST0002,2025-10-05,False,28.96,15.54,107.43,112.3,2025,40
F000000294,ST0002,2025-10-12,False,26.83,15.32,110.1,113.86,2025,41
F000000295,ST0002,2025-10-19,False,24.56,27.68,101.57,112.05,2025,42
F000000296,ST0002,2025-10-26,False,21.34,22.11,108.75,115.11,2025,43
F000000297,ST0002,2025-11-02,False,25.3,15.06,106.95,113.66,2025,44
F000000298,ST0002,2025-11-09,False,26.26,25.24,101.25,113.72,2025,45
F000000299,ST0002,2025-11-16,False,22.97,14.2,101.94,113.27,2025,46
F000000300,ST0002,2025-11-23,False,20.7,4.98,102.83,113.71,2025,47
F000000301,ST0002,2025-11-30,False,28.85,16.12,111.78,115.5,2025,48
F000000302,ST0002,2025-12-07,True,24.14,1.89,108.81,113.49,2025,49
F000000303,ST0002,2025-12-14,False,24.31,8.99,105.37,112.93,2025,50
F000000304,ST0002,2025-12-21,False,19.56,6.16,106.32,115.0,2025,51
F000000305,ST0002,2025-12-28,False,19.46,7.48,105.27,115.22,2025,52
F000000306,ST0002,2026-01-04,False,25.25,0.0,108.89,115.37,2026,1
F000000307,ST0002,2026-01-11,False,21.84,1.4,110.7,114.53,2026,2
F000000308,ST0002,2026-01-18,False,20.66,0.0,103.57,114.64,2026,3
F000000309,ST0002,2026-01-25,False,20.89,3.52,110.55,114.27,2026,4
F000000310,ST0002,2026-02-01,False,24.27,4.61,104.58,116.43,2026,5
F000000311,ST0002,2026-02-08,False,17.65,24.07,108.52,115.44,2026,6
F000000312,ST0002,2026-02-15,True,23.95,10.09,97.67,115.38,2026,7
F000000313,ST0003,2023-02-26,False,19.44,20.15,86.32,99.14,2023,8
F000000314,ST0003,2023-03-05,False,20.45,10.2,99.18,100.79,2023,9
F000000315,ST0003,2023-03-12,False,26.44,2.37,102.39,100.16,2023,10
F000000316,ST0003,2023-03-19,False,22.3,9.71,94.85,99.46,2023,11
F000000317,ST0003,2023-03-26,False,31.15,6.67,100.34,100.79,2023,12
F000000318,ST0003,2023-04-02,False,23.23,14.05,100.95,101.8,2023,13
F000000319,ST0003,2023-04-09,False,29.54,14.57,99.3,100.46,2023,14
F000000320,ST0003,2023-04-16,False,29.82,11.12,98.34,99.48,2023,15
F000000321,ST0003,2023-04-23,True,31.65,16.37,101.57,100.62,2023,16
F000000322,ST0003,2023-04-30,True,25.16,3.58,99.46,101.67,2023,17
F000000323,ST0003,2023-05-07,False,30.44,13.41,98.97,102.27,2023,18
F000000324,ST0003,2023-05-14,False,33.06,8.89,112.5,100.0,2023,19
F000000325,ST0003,2023-05-21,False,29.55,5.64,110.72,100.84,2023,20
F000000326,ST0003,2023-05-28,False,30.19,4.49,99.22,100.82,2023,21
F000000327,ST0003,2023-06-04,False,31.6,12.68,102.92,100.45,2023,22
F000000328,ST0003,2023-06-11,False,32.05,0.0,103.99,102.14,2023,23
F000000329,ST0003,2023-06-18,False,33.95,23.55,104.56,102.89,2023,24
F000000330,ST0003,2023-06-25,False,30.85,6.46,94.42,101.12,2023,25
F000000331,ST0003,2023-07-02,False,33.23,2.69,101.61,102.45,2023,26
F000000332,ST0003,2023-07-09,False,35.55,12.66,98.64,101.32,2023,27
F000000333,ST0003,2023-07-16,False,34.52,6.16,98.38,100.89,2023,28
F000000334,ST0003,2023-07-23,False,33.74,9.0,102.31,100.45,2023,29
F000000335,ST0003,2023-07-30,False,35.58,13.19,102.74,102.4,2023,30
F000000336,ST0003,2023-08-06,False,32.02,16.17,113.68,102.24,2023,31
F000000337,ST0003,2023-08-13,False,30.17,11.66,106.76,103.17,2023,32
F000000338,ST0003,2023-08-20,False,34.72,26.78,95.79,103.22,2023,33
F000000339,ST0003,2023-08-27,True,34.02,22.39,102.92,102.88,2023,34
F000000340,ST0003,2023-09-03,False,35.24,25.96,99.04,103.77,2023,35
F000000341,ST0003,2023-09-10,False,34.24,18.21,89.15,103.63,2023,36
F000000342,ST0003,2023-09-17,False,34.14,26.15,88.37,102.35,2023,37
F000000343,ST0003,2023-09-24,False,30.6,32.58,102.99,103.48,2023,38
F000000344,ST0003,2023-10-01,False,28.53,19.35,98.65,102.68,2023,39
F000000345,ST0003,2023-10-08,False,25.1,12.96,87.83,102.69,2023,40
F000000346,ST0003,2023-10-15,False,29.38,16.65,105.36,103.03,2023,41
F000000347,ST0003,2023-10-22,False,32.04,22.25,94.94,101.86,2023,42
